"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"1301712","2024-09-01T00:00:00","24.05","-63.51",,,"1","4","2","5",,,"11",,,,,,,,,"10165",,,"8",,,,,"9","294",,,,,,,,,,,,,"243","43","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"1301714","2024-09-01T00:00:00","28.95","-63.15",,,"1","4","2","5",,,"11",,,,,,,,,"10189",,,"8",,,,,"9","298",,,,,,,,,,,,,"243","83","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"1301795","2024-09-01T00:00:00","21.09","-66.52",,,"1","3","2","5",,,"11",,,,,,,,,"10143",,,,,,,,,,,,,,,,,,,,,,"243","16","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,
"1301817","2024-09-01T00:00:00","26.92","-61.56",,,"1","4","2","5",,,"11",,,,,,,,,"10184",,,"8",,,,,"9","296",,,,,,,,,,,,,"243","61","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"1501780","2024-09-01T00:00:00","28.22","-61.63",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,,"243","81","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"1701718","2024-09-01T00:00:00","20.07","-65.86",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243","5","798","172","7","0",,"1","FFFF7F","1AAAA9AAAAAAAA","4",,,,,,,
"4100043","2024-09-01T00:00:00","21.00","-64.80",,,"1","4","2","0","0","0","11","0","80","1","60",,,,,"10150","3","12","0","288",,,"257","1","294",,,,"A",,,,,,,,,"243","14","993","114","6","1","2","1","111111","11AAA11A118AA1",,,"6",,,,,"4"
"4100049","2024-09-01T00:00:00","27.50","-62.27",,,"1","5","2","5",,,"11","5","91",,"33",,,,,"10183",,,"8","278",,,"245","9","298",,,,,,,,,,,,,"243","72","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,
"4101727","2024-09-01T00:00:00","29.63","-62.42",,,"1","4","2","5",,,"11",,,,,,,,,"10188",,,"8",,,,,"9","296",,,,,,,,,,,,,"243","92","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"4101851","2024-09-01T00:00:00","27.34","-60.75",,,"1","4","2","5",,,"11",,,,,,,,,"10175",,,"8",,,,,"9","297",,,,,,,,,,,,,"243","70","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"4402674","2024-09-01T00:00:00","23.19","-63.54",,,"1","4","2","5",,,"11",,,,,,,,,"10162",,,"8",,,,,"9","294",,,,,,,,,,,,,"243","33","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"4402884","2024-09-01T00:00:00","27.03","-66.66",,,"1","4","2","5",,,"11",,,,,,,,,"10181",,,"8",,,,,"9","295",,,,,,,,,,,,,"243","76","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"6203621","2024-09-01T00:00:00","27.32","-61.73",,,"1","4","2","5",,,"11",,,,,,,,,"10184",,,"8",,,,,"9","297",,,,,,,,,,,,,"243","71","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"6203840","2024-09-01T00:00:00","24.94","-68.93",,,"1","4","2","5",,,"11",,,,,,,,,"10166",,,"8",,,,,"9","297",,,,,,,,,,,,,"243","48","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"6402615","2024-09-01T00:00:00","24.10","-69.31",,,"1","4","2","5",,,"11",,,,,,,,,"10162",,,"8",,,,,"9","298",,,,,,,,,,,,,"243","49","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"7810323","2024-09-01T00:00:00","29.97","-62.91",,,"1","3","2","5",,,"11",,,,,,,,,"10191",,,,,,,,,,,,,,,,,,,,,,"243","92","798","172","6","0",,"1","FFFF1F","1AAAA1AAAAAAAA",,,,,,,,
"7810324","2024-09-01T00:00:00","28.42","-65.72",,,"1","3","2","5",,,"11",,,,,,,,,"10188",,,,,,,,,,,,,,,,,,,,,,"243","85","798","172","6","0",,"1","FFFF1F","1AAAA1AAAAAAAA",,,,,,,,
"7810325","2024-09-01T00:00:00","28.93","-65.16",,,"1","3","2","5",,,"11",,,,,,,,,"10191",,,,,,,,,,,,,,,,,,,,,,"243","85","798","172","6","0",,"1","FFFF1F","1AAAA1AAAAAAAA",,,,,,,,
"1801556","2024-09-01T00:01:00","29.92","-67.09",,,"1","3","2","5",,,"11",,,,,,,,,"10185",,,"8","274",,,,,,,,,,,,,,,,,,"243","97","798","172","7","0",,"1","F1FF1F","1AAAA11AAAAAAA","4",,,,,,,
"5801959","2024-09-01T00:01:00","24.82","-67.21",,,"1","3","2","5",,,"11","5",,,,,,,,"10169",,,"8","293",,,,,,,,,,,,,,,,,,"243","47","798","172","7","0",,"1","F1111F","11AAA11AAAAAAA","4",,,,,,,
"7810322","2024-09-01T00:01:00","24.25","-67.10",,,"1","3","2","5",,,"11",,,,,,,,,"10169",,,,,,,,,,,,,,,,,,,,,,"243","47","798","172","6","0",,"1","FFFF1F","1AAAA1AAAAAAAA",,,,,,,,
"1801556","2024-09-01T00:03:00","29.92","-67.09",,,"1","3","2","5",,,"11",,,,,,,,,"10185",,,"8","275",,,,,,,,,,,,,,,,,,"243","97","798","172","7","0",,"1","F1FF1F","1AAAA11AAAAAAA","4",,,,,,,
"5801959","2024-09-01T00:03:00","24.82","-67.21",,,"1","3","2","5",,,"11","5",,,,,,,,"10169",,,"8","292",,,,,,,,,,,,,,,,,,"243","47","798","172","7","0",,"1","F1111F","11AAA11AAAAAAA","4",,,,,,,
