"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"3201649","2018-09-01T00:00:00","20.37","-150.18",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"234","0","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"4301516","2018-09-01T00:00:00","21.80","-157.44",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"234","17","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5100205","2018-09-01T00:00:00","21.00","-156.40",,,"1","4",,"0",,,"11",,,,,,,,,,,,,,,,,"1","265",,,,,,,,"8","4","8","12","1","234","16","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,"4"
"5100210","2018-09-01T00:00:00","21.50","-157.80",,,"1","4",,"0",,,"11",,,,,,,,,,,,,,,,,"1","268",,,,,,,,"8","3",,,,"234","17","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A7AA",,,"6",,,,,"4"
"5100211","2018-09-01T00:00:00","21.30","-158.00",,,"1","4",,"0",,,"11",,,,,,,,,,,,,,,,,"1","267",,,,,,,,"8","1","15","13","1","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,"4"
"5100212","2018-09-01T00:00:00","21.30","-158.10",,,"1","4",,"0",,,"11",,,,,,,,,,,,,,,,,"1","271",,,,,,,,"7","1","18","13","1","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,"4"
"5100213","2018-09-01T00:00:00","20.80","-157.00",,,"1","4",,"0",,,"11",,,,,,,,,,,,,,,,,"1","275",,,,,,,,"10","1","19","14","1","234","7","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,"4"
"5102621","2018-09-01T00:00:00","20.51","-159.79",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,,"234","9","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"7JHG","2018-09-01T00:00:00","26.80","-160.00",,,"1","6","2","5","3","3","1",,"80","3","77","1","98","1","1","10160","0","10","8","270","0","230","213","1","260","4","2","1","6","3","3",,"4","4","8","4","4","233","60","798","172","5","1","2","2","111111","11111111111111",,"5",,"1",,,,
"KLIH1","2018-09-01T00:00:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","20","4","67",,,,,"10114","8","17","0","259",,,,"1","278",,,,"A",,,,,,,,,"234","6","995","114","16","1","2","2","11111F","11AAA11AA18AA1","31",,"6",,,,,"4"
"KRGB","2018-09-01T00:00:00","22.20","-156.10",,,"1","6","2","5","1","4","1",,"50","4","82","1","98","21","6","10131",,,"8","261",,"217","193","1","267","6","4","4","3","6","4",,"3","3","7","9","4","234","26","798","172","5","1","2","2","111111","1111111111111A",,"5",,"2",,,,
"KWHH1","2018-09-01T00:00:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","260","4","51",,,,,"10097","8","12","0","271",,,,"1","283",,,,"A",,,,,,,,,"234","5","995","114","16","1","2","2","11512F","11AAA11AA18AA1","31",,"6",,,,,"4"
"MOKH1","2018-09-01T00:00:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","50","4","62",,,,,"10120","8","16",,"264",,,,"1","271",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAA1","31",,"6",,,,,"4"
"NWWH1","2018-09-01T00:00:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","10","4","46",,,,,"10129","6","13",,"243",,,,"1","290",,,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAA1","31",,"6",,,,,"4"
"OOUH1","2018-09-01T00:00:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","60","4","26",,,,,"10109","8","18","0","281",,,,"1","268",,,,"A",,,,,,,,,"234","17","995","114","16","1","2","2","11111F","11AAA11AA18AA1","31",,"6",,,,,"4"
"WSRH","2018-09-01T00:00:00","24.70","-152.20",,,"1","4","0","0","5","4","1","0","20","4","108",,"99","2","1","10126",,,"0","303","0","244","216","1","228","4",,"1","6","A","A",,,"2","12",,"2","234","42","992","114","5","1","2","2","131211","1111111111133A",,,"1","1",,,,"4"
"WTEC","2018-09-01T00:00:00","21.40","-157.90",,,"1","6","2","5","9",,"1",,"60","4","62",,,,,"10110",,,"8","276",,,"160","3","272",,,"A",,"A","A",,,,,,,"234","17","798","172","5","1","2","2","111114","11AAA11A118AAA",,"5",,,,,,
"KLIH1","2018-09-01T00:06:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","20","4","67",,,,,"10114",,,"0","258",,,,"1","279",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,"4"
"KWHH1","2018-09-01T00:06:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","250","4","41",,,,,"10097",,,"0","272",,,,"1","283",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11312F","11AAA11AA18AAA","31",,"6",,,,,"4"
"MOKH1","2018-09-01T00:06:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","60","4","62",,,,,"10120",,,,"269",,,,"1","271",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,"4"
"NWWH1","2018-09-01T00:06:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","360","4","26",,,,,"10127",,,,"247",,,,"1","289",,,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,"4"
"OOUH1","2018-09-01T00:06:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","70","4","46",,,,,"10108",,,"0","275",,,,"1","268",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,"4"
"KLIH1","2018-09-01T00:12:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","20","4","67",,,,,"10114",,,"0","257",,,,"1","278",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,"4"
"KWHH1","2018-09-01T00:12:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","260","4","46",,,,,"10097",,,"0","271",,,,"1","283",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11512F","11AAA11AA18AAA","31",,"6",,,,,"4"
"MOKH1","2018-09-01T00:12:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","50","4","57",,,,,"10119",,,,"267",,,,"1","271",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,"4"
"NWWH1","2018-09-01T00:12:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","20","4","21",,,,,"10126",,,,"252",,,,"1","284",,,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,"4"
"OOUH1","2018-09-01T00:12:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","50","4","51",,,,,"10108",,,"0","279",,,,"1","268",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,"4"
"KLIH1","2018-09-01T00:18:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","20","4","62",,,,,"10114",,,"0","259",,,,"1","278",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,"4"
"KWHH1","2018-09-01T00:18:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","260","4","41",,,,,"10096",,,"0","272",,,,"1","284",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11312F","11AAA11AA18AAA","31",,"6",,,,,"4"
"MOKH1","2018-09-01T00:18:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","50","4","57",,,,,"10119",,,,"269",,,,"1","272",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,"4"
"NWWH1","2018-09-01T00:18:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","30","4","31",,,,,"10125",,,,"260",,,,"1","278",,,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,"4"
"OOUH1","2018-09-01T00:18:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","50","4","41",,,,,"10107",,,"0","278",,,,"1","268",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,"4"
